E:/PythonProject/get12306/get_all_train.py:28: DeprecationWarning: use options instead of chrome_options
  browser = webdriver.Chrome(chrome_options=chrome_options)
['4045', '齐齐哈尔', '加格达奇', '冯屯', '团结', '', '', '', '', '?88.5', '?58.5', '', '?12.5', '?12.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '拉哈', '', '', '', '', '?90.5', '?59.5', '', '?13.5', '?13.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '六合镇', '', '', '', '', '?95.5', '?62.5', '', '?16.5', '?16.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '八方', '', '', '', '', '?97.5', '?63.5', '', '?17.5', '?17.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '讷河', '', '', '', '', '?99.5', '?64.5', '', '?18.5', '?18.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '恒地营', '', '', '', '', '?101.5', '?66.5', '', '?20.5', '?20.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '老莱', '', '', '', '', '?102.5', '?66.5', '', '?20.5', '?20.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '伊拉哈', '', '', '', '', '?109.5', '?71.5', '', '?25.5', '?25.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '九三', '', '', '', '', '?110.5', '?71.5', '', '?25.5', '?25.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '弯道', '', '', '', '', '?112.5', '?72.5', '', '?26.5', '?26.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '新高峰', '', '', '', '', '?115.5', '?75.5', '', '?29.5', '?29.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '嫩江', '', '', '', '', '?120.5', '?78.5', '', '?32.5', '?32.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '哈达阳', '', '', '', '', '?124.5', '?81.5', '', '?35.5', '?35.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '哈力图', '', '', '', '', '?124.5', '?81.5', '', '?35.5', '?35.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '红彦', '', '', '', '', '?127.5', '?82.5', '', '?36.5', '?36.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '达拉滨', '', '', '', '', '?130.5', '?84.5', '', '?38.5', '?38.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '大杨树东', '', '', '', '', '?134.5', '?86.5', '', '?40.5', '?40.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '大杨树', '', '', '', '', '?134.5', '?86.5', '', '?40.5', '?40.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '春亭阁', '', '', '', '', '?140.5', '?90.5', '', '?44.5', '?44.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '乌鲁布铁', '', '', '', '', '?143.5', '?91.5', '', '?45.5', '?45.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '朝阳村', '', '', '', '', '?146.5', '?93.5', '', '?47.5', '?47.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '讷尔克气', '', '', '', '', '?146.5', '?93.5', '', '?47.5', '?47.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '白桦排', '', '', '', '', '?149.5', '?94.5', '', '?48.5', '?48.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '加格达奇', '', '', '', '', '?158.5', '?102.5', '', '?54.5', '?54.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '富裕', '', '', '', '', '?79.5', '?53.0', '', '?7.0', '?7.0']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '团结', '', '', '', '', '?85.5', '?56.5', '', '?10.5', '?10.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '拉哈', '', '', '', '', '?88.5', '?58.5', '', '?12.5', '?12.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '六合镇', '', '', '', '', '?90.5', '?59.5', '', '?13.5', '?13.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '八方', '', '', '', '', '?94.5', '?60.5', '', '?14.5', '?14.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '讷河', '', '', '', '', '?95.5', '?62.5', '', '?16.5', '?16.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '恒地营', '', '', '', '', '?99.5', '?64.5', '', '?18.5', '?18.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '老莱', '', '', '', '', '?101.5', '?66.5', '', '?20.5', '?20.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '伊拉哈', '', '', '', '', '?105.5', '?67.5', '', '?21.5', '?21.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '九三', '', '', '', '', '?109.5', '?71.5', '', '?25.5', '?25.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '弯道', '', '', '', '', '?110.5', '?71.5', '', '?25.5', '?25.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '新高峰', '', '', '', '', '?112.5', '?72.5', '', '?26.5', '?26.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '嫩江', '', '', '', '', '?115.5', '?75.5', '', '?29.5', '?29.5']
['4045', '齐齐哈尔', '加格达奇', '塔哈', '哈达阳', '', '', '', '', '?120.5', '?78.5', '', '?32.5', '?32.5']
