['D28', '哈尔滨西', '天津西', '长春西', '天津西', '', '¥478.5', '¥299.0', '', '', '', '', '', '', '¥299.0']
['D28', '哈尔滨西', '天津西', '沈阳北', '葫芦岛北', '', '¥131.0', '¥82.0', '', '', '', '', '', '', '¥82.0']
['D28', '哈尔滨西', '天津西', '沈阳北', '绥中北', '', '¥160.0', '¥100.5', '', '', '', '', '', '', '¥100.5']
['D28', '哈尔滨西', '天津西', '沈阳北', '山海关', '', '¥192.0', '¥119.5', '', '', '', '', '', '', '¥119.5']
['D28', '哈尔滨西', '天津西', '沈阳北', '北戴河', '', '¥210.5', '¥131.5', '', '', '', '', '', '', '¥131.5']
['D28', '哈尔滨西', '天津西', '沈阳北', '唐山', '', '¥272.5', '¥170.5', '', '', '', '', '', '', '¥170.5']
['D28', '哈尔滨西', '天津西', '沈阳北', '滨海西', '', '¥310.0', '¥194.0', '', '', '', '', '', '', '¥194.0']
['D28', '哈尔滨西', '天津西', '沈阳北', '天津西', '', '¥331.5', '¥207.0', '', '', '', '', '', '', '¥207.0']
['D28', '哈尔滨西', '天津西', '葫芦岛北', '绥中北', '', '¥29.0', '¥18.0', '', '', '', '', '', '', '¥18.0']
['D28', '哈尔滨西', '天津西', '葫芦岛北', '山海关', '', '¥60.0', '¥37.5', '', '', '', '', '', '', '¥37.5']
['D28', '哈尔滨西', '天津西', '葫芦岛北', '北戴河', '', '¥79.5', '¥49.5', '', '', '', '', '', '', '¥49.5']
['D28', '哈尔滨西', '天津西', '葫芦岛北', '唐山', '', '¥141.5', '¥88.5', '', '', '', '', '', '', '¥88.5']
['D28', '哈尔滨西', '天津西', '葫芦岛北', '滨海西', '', '¥179.0', '¥112.0', '', '', '', '', '', '', '¥112.0']
['D28', '哈尔滨西', '天津西', '葫芦岛北', '天津西', '', '¥200.5', '¥125.0', '', '', '', '', '', '', '¥125.0']
['D28', '哈尔滨西', '天津西', '绥中北', '山海关', '', '¥31.0', '¥19.5', '', '', '', '', '', '', '¥19.5']
['D28', '哈尔滨西', '天津西', '绥中北', '北戴河', '', '¥50.5', '¥31.0', '', '', '', '', '', '', '¥31.0']
['D28', '哈尔滨西', '天津西', '绥中北', '唐山', '', '¥112.5', '¥70.0', '', '', '', '', '', '', '¥70.0']
['D28', '哈尔滨西', '天津西', '绥中北', '滨海西', '', '¥150.0', '¥93.5', '', '', '', '', '', '', '¥93.5']
['D28', '哈尔滨西', '天津西', '绥中北', '天津西', '', '¥171.5', '¥106.5', '', '', '', '', '', '', '¥106.5']
['D28', '哈尔滨西', '天津西', '山海关', '北戴河', '', '¥25.5', '¥15.5', '', '', '', '', '', '', '¥15.5']
['D28', '哈尔滨西', '天津西', '山海关', '唐山', '', '¥87.5', '¥54.5', '', '', '', '', '', '', '¥54.5']
['D28', '哈尔滨西', '天津西', '山海关', '滨海西', '', '¥125.0', '¥78.0', '', '', '', '', '', '', '¥78.0']
['D28', '哈尔滨西', '天津西', '山海关', '天津西', '', '¥146.5', '¥91.0', '', '', '', '', '', '', '¥91.0']
['D28', '哈尔滨西', '天津西', '北戴河', '唐山', '', '¥62.0', '¥39.0', '', '', '', '', '', '', '¥39.0']
['D28', '哈尔滨西', '天津西', '北戴河', '滨海西', '', '¥99.5', '¥62.5', '', '', '', '', '', '', '¥62.5']
['D28', '哈尔滨西', '天津西', '北戴河', '天津西', '', '¥121.0', '¥75.5', '', '', '', '', '', '', '¥75.5']
['D28', '哈尔滨西', '天津西', '唐山', '滨海西', '', '¥37.5', '¥23.5', '', '', '', '', '', '', '¥23.5']
['D28', '哈尔滨西', '天津西', '唐山', '天津西', '', '¥58.5', '¥36.5', '', '', '', '', '', '', '¥36.5']
['D28', '哈尔滨西', '天津西', '滨海西', '天津西', '', '¥21.0', '¥13.5', '', '', '', '', '', '', '¥13.5']
['D55', '张掖西', '乌鲁木齐', '张掖西', '临泽南', '', '¥17.0', '¥11.0', '', '', '', '', '', '', '¥11.0']
['D55', '张掖西', '乌鲁木齐', '张掖西', '酒泉南', '', '¥94.0', '¥59.0', '', '', '', '', '', '', '¥59.0']
['D55', '张掖西', '乌鲁木齐', '张掖西', '嘉峪关南', '', '¥105.0', '¥65.5', '', '', '', '', '', '', '¥65.5']
['D55', '张掖西', '乌鲁木齐', '张掖西', '玉门', '', '¥167.0', '¥104.5', '', '', '', '', '', '', '¥104.5']
['D55', '张掖西', '乌鲁木齐', '张掖西', '柳园南', '', '¥247.0', '¥154.5', '', '', '', '', '', '', '¥154.5']
['D55', '张掖西', '乌鲁木齐', '张掖西', '哈密', '', '¥376.0', '¥235.0', '', '', '', '', '', '', '¥235.0']
['D55', '张掖西', '乌鲁木齐', '张掖西', '鄯善北', '', '¥515.0', '¥322.0', '', '', '', '', '', '', '¥322.0']
['D55', '张掖西', '乌鲁木齐', '张掖西', '吐鲁番北', '', '¥560.0', '¥350.0', '', '', '', '', '', '', '¥350.0']
['D55', '张掖西', '乌鲁木齐', '张掖西', '乌鲁木齐', '', '¥642.0', '¥401.5', '', '', '', '', '', '', '¥401.5']
['D55', '张掖西', '乌鲁木齐', '临泽南', '酒泉南', '', '¥77.0', '¥48.0', '', '', '', '', '', '', '¥48.0']
['D55', '张掖西', '乌鲁木齐', '临泽南', '嘉峪关南', '', '¥87.0', '¥54.5', '', '', '', '', '', '', '¥54.5']
['D55', '张掖西', '乌鲁木齐', '临泽南', '玉门', '', '¥150.0', '¥93.5', '', '', '', '', '', '', '¥93.5']
['D55', '张掖西', '乌鲁木齐', '临泽南', '柳园南', '', '¥230.0', '¥144.0', '', '', '', '', '', '', '¥144.0']
['D55', '张掖西', '乌鲁木齐', '临泽南', '哈密', '', '¥359.0', '¥224.5', '', '', '', '', '', '', '¥224.5']
['D55', '张掖西', '乌鲁木齐', '临泽南', '鄯善北', '', '¥498.0', '¥311.0', '', '', '', '', '', '', '¥311.0']
['D55', '张掖西', '乌鲁木齐', '临泽南', '吐鲁番北', '', '¥543.0', '¥339.0', '', '', '', '', '', '', '¥339.0']
['D55', '张掖西', '乌鲁木齐', '临泽南', '乌鲁木齐', '', '¥625.0', '¥390.5', '', '', '', '', '', '', '¥390.5']
['D55', '张掖西', '乌鲁木齐', '酒泉南', '嘉峪关南', '', '¥10.0', '¥6.5', '', '', '', '', '', '', '¥6.5']
['D55', '张掖西', '乌鲁木齐', '酒泉南', '玉门', '', '¥73.0', '¥45.5', '', '', '', '', '', '', '¥45.5']
['D55', '张掖西', '乌鲁木齐', '酒泉南', '柳园南', '', '¥153.0', '¥95.5', '', '', '', '', '', '', '¥95.5']
['D55', '张掖西', '乌鲁木齐', '酒泉南', '哈密', '', '¥282.0', '¥176.0', '', '', '', '', '', '', '¥176.0']
['D55', '张掖西', '乌鲁木齐', '酒泉南', '鄯善北', '', '¥421.0', '¥263.0', '', '', '', '', '', '', '¥263.0']
['D55', '张掖西', '乌鲁木齐', '酒泉南', '吐鲁番北', '', '¥466.0', '¥291.0', '', '', '', '', '', '', '¥291.0']
['D55', '张掖西', '乌鲁木齐', '酒泉南', '乌鲁木齐', '', '¥548.0', '¥342.5', '', '', '', '', '', '', '¥342.5']
['D55', '张掖西', '乌鲁木齐', '嘉峪关南', '玉门', '', '¥62.0', '¥39.0', '', '', '', '', '', '', '¥39.0']
['D55', '张掖西', '乌鲁木齐', '嘉峪关南', '柳园南', '', '¥143.0', '¥89.0', '', '', '', '', '', '', '¥89.0']
['D55', '张掖西', '乌鲁木齐', '嘉峪关南', '哈密', '', '¥272.0', '¥169.5', '', '', '', '', '', '', '¥169.5']
['D55', '张掖西', '乌鲁木齐', '嘉峪关南', '鄯善北', '', '¥410.0', '¥256.5', '', '', '', '', '', '', '¥256.5']
['D55', '张掖西', '乌鲁木齐', '嘉峪关南', '吐鲁番北', '', '¥455.0', '¥284.5', '', '', '', '', '', '', '¥284.5']
