['Z5', '北京西', '南宁', '石家庄', '桂林北', '', '', '', '', '¥556.0', '¥556.0', '¥353.0', '', '¥206.0', '¥206.0']
['Z5', '北京西', '南宁', '石家庄', '柳州', '', '', '', '', '¥598.0', '¥598.0', '¥381.0', '', '¥224.0', '¥224.0']
['Z5', '北京西', '南宁', '石家庄', '南宁东', '', '', '', '', '¥654.0', '¥654.0', '¥414.0', '', '¥243.0', '¥243.0']
['Z5', '北京西', '南宁', '石家庄', '南宁', '', '', '', '', '¥654.0', '¥654.0', '¥414.0', '', '¥243.0', '¥243.0']
['Z5', '北京西', '南宁', '郑州', '武昌', '', '', '', '', '¥205.0', '¥205.0', '¥133.0', '', '¥75.0', '¥75.0']
['Z5', '北京西', '南宁', '郑州', '长沙', '', '', '', '', '¥312.0', '¥312.0', '¥200.0', '', '¥115.0', '¥115.0']
['Z5', '北京西', '南宁', '郑州', '衡阳', '', '', '', '', '¥372.5', '¥372.5', '¥238.5', '', '¥138.5', '¥138.5']
['Z5', '北京西', '南宁', '郑州', '永州', '', '', '', '', '¥409.5', '¥409.5', '¥261.5', '', '¥152.5', '¥152.5']
['Z5', '北京西', '南宁', '郑州', '桂林北', '', '', '', '', '¥464.5', '¥464.5', '¥296.5', '', '¥173.5', '¥173.5']
['Z5', '北京西', '南宁', '郑州', '柳州', '', '', '', '', '¥504.5', '¥504.5', '¥322.5', '', '¥189.5', '¥189.5']
['Z5', '北京西', '南宁', '郑州', '南宁东', '', '', '', '', '¥556.0', '¥556.0', '¥353.0', '', '¥206.0', '¥206.0']
['Z5', '北京西', '南宁', '郑州', '南宁', '', '', '', '', '¥556.0', '¥556.0', '¥353.0', '', '¥206.0', '¥206.0']
['Z5', '北京西', '南宁', '武昌', '长沙', '', '', '', '', '¥152.5', '¥152.5', '¥99.5', '', '¥53.5', '¥53.5']
['Z5', '北京西', '南宁', '武昌', '衡阳', '', '', '', '', '¥205.0', '¥205.0', '¥133.0', '', '¥75.0', '¥75.0']
['Z5', '北京西', '南宁', '武昌', '永州', '', '', '', '', '¥251.0', '¥251.0', '¥163.0', '', '¥93.0', '¥93.0']
['Z5', '北京西', '南宁', '武昌', '桂林北', '', '', '', '', '¥312.0', '¥312.0', '¥200.0', '', '¥115.0', '¥115.0']
['Z5', '北京西', '南宁', '武昌', '柳州', '', '', '', '', '¥360.5', '¥360.5', '¥232.5', '', '¥135.5', '¥135.5']
['Z5', '北京西', '南宁', '武昌', '南宁东', '', '', '', '', '¥422.5', '¥422.5', '¥268.5', '', '¥156.5', '¥156.5']
['Z5', '北京西', '南宁', '武昌', '南宁', '', '', '', '', '¥422.5', '¥422.5', '¥268.5', '', '¥156.5', '¥156.5']
['Z5', '北京西', '南宁', '长沙', '衡阳', '', '', '', '', '¥113.5', '¥113.5', '¥74.5', '', '¥28.5', '¥28.5']
['Z5', '北京西', '南宁', '长沙', '永州', '', '', '', '', '¥146.5', '¥146.5', '¥96.5', '', '¥50.5', '¥50.5']
['Z5', '北京西', '南宁', '长沙', '桂林北', '', '', '', '', '¥205.0', '¥205.0', '¥133.0', '', '¥75.0', '¥75.0']
['Z5', '北京西', '南宁', '长沙', '柳州', '', '', '', '', '¥251.0', '¥251.0', '¥163.0', '', '¥93.0', '¥93.0']
['Z5', '北京西', '南宁', '长沙', '南宁东', '', '', '', '', '¥312.0', '¥312.0', '¥200.0', '', '¥115.0', '¥115.0']
['Z5', '北京西', '南宁', '长沙', '南宁', '', '', '', '', '¥324.0', '¥324.0', '¥207.0', '', '¥119.0', '¥119.0']
['Z5', '北京西', '南宁', '衡阳', '永州', '', '', '', '', '¥102.5', '¥102.5', '¥67.5', '', '¥21.5', '¥21.5']
['Z5', '北京西', '南宁', '衡阳', '桂林北', '', '', '', '', '¥146.5', '¥146.5', '¥96.5', '', '¥50.5', '¥50.5']
['Z5', '北京西', '南宁', '衡阳', '柳州', '', '', '', '', '¥197.0', '¥197.0', '¥129.0', '', '¥72.0', '¥72.0']
['Z5', '北京西', '南宁', '衡阳', '南宁东', '', '', '', '', '¥263.0', '¥263.0', '¥171.0', '', '¥98.0', '¥98.0']
['Z5', '北京西', '南宁', '衡阳', '南宁', '', '', '', '', '¥263.0', '¥263.0', '¥171.0', '', '¥98.0', '¥98.0']
['Z5', '北京西', '南宁', '永州', '桂林北', '', '', '', '', '¥115.5', '¥115.5', '¥75.5', '', '¥29.5', '¥29.5']
['Z5', '北京西', '南宁', '永州', '柳州', '', '', '', '', '¥152.5', '¥152.5', '¥99.5', '', '¥53.5', '¥53.5']
['Z5', '北京西', '南宁', '永州', '南宁东', '', '', '', '', '¥214.0', '¥214.0', '¥139.0', '', '¥78.0', '¥78.0']
['Z5', '北京西', '南宁', '永州', '南宁', '', '', '', '', '¥222.0', '¥222.0', '¥144.0', '', '¥81.0', '¥81.0']
['Z5', '北京西', '南宁', '桂林北', '柳州', '', '', '', '', '¥108.5', '¥108.5', '¥70.5', '', '¥24.5', '¥24.5']
['Z5', '北京西', '南宁', '桂林北', '南宁东', '', '', '', '', '¥152.5', '¥152.5', '¥99.5', '', '¥53.5', '¥53.5']
['Z5', '北京西', '南宁', '桂林北', '南宁', '', '', '', '', '¥155.5', '¥155.5', '¥100.5', '', '¥54.5', '¥54.5']
['Z5', '北京西', '南宁', '柳州', '南宁东', '', '', '', '', '¥118.5', '¥118.5', '¥78.5', '', '¥32.5', '¥32.5']
['Z5', '北京西', '南宁', '柳州', '南宁', '', '', '', '', '¥125.5', '¥125.5', '¥83.5', '', '¥37.5', '¥37.5']
['Z5', '北京西', '南宁', '南宁东', '南宁', '', '', '', '', '¥78.0', '¥78.0', '¥54.0', '', '¥8.0', '¥8.0']
['Z6', '南宁', '北京西', '南宁', '南宁东', '', '', '', '', '¥78.0', '¥78.0', '¥54.0', '', '¥8.0', '¥8.0']
['Z6', '南宁', '北京西', '南宁', '柳州', '', '', '', '', '¥125.5', '¥125.5', '¥83.5', '', '¥37.5', '¥37.5']
['Z6', '南宁', '北京西', '南宁', '桂林北', '', '', '', '', '¥155.5', '¥155.5', '¥100.5', '', '¥54.5', '¥54.5']
['Z6', '南宁', '北京西', '南宁', '衡阳', '', '', '', '', '¥263.0', '¥263.0', '¥171.0', '', '¥98.0', '¥98.0']
['Z6', '南宁', '北京西', '南宁', '长沙', '', '', '', '', '¥324.0', '¥324.0', '¥207.0', '', '¥119.0', '¥119.0']
